day_of_week,centre_id,time_slot,total_slots,booked_slots,farmers_arrived,queue_length,average_waiting_time,average_procurement_time,crop_type,quantity,weather,temperature,rainfall,harvest_season,holiday,previous_day_arrivals,previous_slot_arrivals,target_arrivals,target_queue_length,target_waiting_time,target_congestion_score,target_congestion_level,year,month,day,booking_ratio,queue_per_slot,arrival_pressure,procurement_load,historical_arrival_trend,weather_impact,queue_pressure
6,0,0,0.0,-0.1013404650158022,-0.4018084759015512,0.4231878107667506,0.7661060174284884,0.871845661147491,3,-0.9491859031375186,1,-1.5373275393216417,3.748522773723856,0,-0.2526455763199557,1.097551147239118,0.2491673304524058,79.81,52.79,22.56,98.44,HIGH,0.0,-1.477564275700496,-1.6289578204650947,-0.1013404650158022,0.4231878107667506,-0.4018084759015512,-0.3503149763270536,0.6733592388457619,1.5667958789975995,0.09318929609942983
6,0,1,0.0,-0.1013404650158022,0.518648007628355,-1.3120592794065369,-1.0834161923260326,-1.6308163480744855,4,0.2407895233246429,2,-0.7872903666695275,-0.602124948152496,0,-0.2526455763199557,1.097551147239118,-0.2666765454398345,87.42,69.35,39.61,100.0,HIGH,0.0,-1.477564275700496,-1.6289578204650947,-0.1013404650158022,-1.3120592794065369,0.518648007628355,-0.8458196497365817,0.4154373008996417,-0.45852054741015347,-0.5797763645925801
6,0,2,0.0,0.4333873255132579,1.081149192007742,0.2744523458947545,-0.4600268459684624,-0.694256339666757,2,1.3363191018413878,0,-1.3392045125833472,-0.5231795631917765,0,-0.2526455763199557,1.097551147239118,0.6618424311661981,82.0,75.75,63.65,100.0,HIGH,0.0,-1.477564275700496,-1.6289578204650947,0.4333873255132579,0.2744523458947545,1.081149192007742,-0.7505946806769669,0.879696789202658,-0.5294306841125577,0.5971310843399495
6,0,3,0.0,0.9012741422261856,0.672057421550006,1.4643360648707229,0.6491129846254118,0.4872978431257744,3,0.6044166023270189,2,-0.9075793471892064,-0.602124948152496,0,-0.2526455763199557,1.097551147239118,1.2292706946476626,85.74,65.55,36.96,100.0,HIGH,0.0,-1.477564275700496,-1.6289578204650947,0.9012741422261856,1.4643360648707229,0.672057421550006,0.32749213197798727,1.1634109209433903,-0.48257834351408924,1.1474246075424361
6,0,4,0.0,0.2997053778809929,0.77433036416444,0.4231878107667506,-0.1147827001476183,-0.7376730287982413,3,-0.11480860216112,2,-0.5514296205525104,-0.4755960434894252,0,-0.2526455763199557,1.097551147239118,0.8165955939338703,106.49,85.68,86.93,100.0,HIGH,0.0,-1.477564275700496,-1.6289578204650947,0.2997053778809929,0.4231878107667506,0.77433036416444,-0.5712026250236276,0.9570733705864941,-0.3480839458552147,0.5636448321258263
6,0,5,0.0,2.304934592364969,2.001605675537648,0.9685511819640694,0.952491976551037,0.7974170512078038,3,2.7705437458089217,2,-0.747194039829635,-0.5361568867469633,0,-0.2526455763199557,1.097551147239118,0.9197643691123184,97.69,86.31,53.24,100.0,HIGH,0.0,-1.477564275700496,-1.6289578204650947,2.304934592364969,0.9685511819640694,2.001605675537648,1.5961144954680355,1.0086577581757181,-0.41751725133940865,1.381772979393501
6,0,6,0.0,1.903888749468173,1.7970597903087802,2.0096994360680416,0.8578652588426663,-0.3128097137258613,3,-0.171856429779157,0,-1.5986513333120662,-0.1219639766105866,0,-0.2526455763199557,1.097551147239118,2.1577896712536955,98.91,81.81,80.2,100.0,HIGH,0.0,-1.477564275700496,-1.6289578204650947,1.903888749468173,2.0096994360680416,1.7970597903087802,-0.5621377585547459,1.6276704092464067,-0.38071225496770655,1.9246435777643371
6,1,0,-0.7071067811865475,-0.3687043602803324,-0.0949896480582491,-0.7171174199185524,-0.460600341227301,-2.033971318581124,1,-1.117582638735946,0,-1.249577429058881,-0.0851948932042242,0,-0.2526455763199557,1.097551147239118,0.2491673304524058,95.42,73.34,79.18,100.0,HIGH,0.0,-1.477564275700496,-1.6289578204650947,-0.3687043602803324,-0.7171174199185524,-0.0949896480582491,0.1932062197125938,0.6733592388457619,-0.2925129324138883,-0.468266311174431
6,1,1,-0.7071067811865475,0.7007512207777881,1.28569507723661,0.621501763929412,0.6720527949789561,0.2423036687409715,3,0.0104853303481237,2,-0.990130608330162,-0.4615372763046396,0,-0.2526455763199557,1.097551147239118,0.0428297800955096,89.19,77.8,50.45,100.0,HIGH,0.0,-1.477564275700496,-1.6289578204650947,0.7007512207777881,0.621501763929412,1.28569507723661,0.31152863409663734,0.5701904636673137,-0.4287947598183522,0.8871790892522913
6,1,2,-0.7071067811865475,1.7702068018359085,1.2345586059293931,1.216443623417396,0.2660181517212195,-0.3283156741299624,2,-0.6654257828003944,0,-0.7094563204509122,-0.5166909014141833,0,-0.2526455763199557,1.097551147239118,1.4356082450045586,87.08,69.24,40.83,100.0,HIGH,0.0,-1.477564275700496,-1.6289578204650947,1.7702068018359085,1.216443623417396,1.2345586059293931,-0.4053249409586553,1.2665796961218383,-0.4002367147972741,1.2236896164221949
6,1,3,-0.7071067811865475,0.7007512207777881,0.978876249393308,0.9685511819640694,-0.2466866096804989,-0.9423517061323808,2,2.0048351262246054,2,-1.6316718377684487,-0.4864104797854141,0,-0.2526455763199557,1.097551147239118,1.3840238574153347,94.1,80.77,158.93,100.0,HIGH,0.0,-1.477564275700496,-1.6289578204650947,0.7007512207777881,0.9685511819640694,0.978876249393308,-0.9224457037082497,1.2407875023272263,-0.5695396074463968,0.9726812089357648
